phase,blocknum,stimulus,outcome,context,trialname,exp_response,pain_response,trialnum,PID,group,group_name,cb,shock_level,shock_high,shock_low
renewal,2,TENS,high,A,TENS_high,,,78,3,2,AAA,2,1,1,11
renewal,2,TENS,high,A,TENS_high,,,79,3,2,AAA,2,1,1,11
renewal,2,control,high,A,control_high,,,80,3,2,AAA,2,1,1,11
renewal,2,TENS,high,A,TENS_high,,,81,3,2,AAA,2,1,1,11
renewal,2,control,high,A,control_high,,,82,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
calibration,calibration,0,high,calibration,calibration,,,,3,2,AAA,2,1,1,11
